mass(g),pull strength(lbs),distance feet
847,600,100
847,597,101
980,606,107
968,553,95
968,590,108
968,590,98
968,588,100
847,597,110
847,587,120
847,563,85
847,573,97
782,748,200
782,745,200
844,750,189
599,720,189
599,850,270
599,904,270
721,940,280
523,990,340
564,967,303
670,980,313
588,971,325
709,970,305
